fold,feature,importance
4,ChemEnv_max_MI:10,0.0066703176041125745
4,ChemEnv_max_I:12,0.0025295862250565224
4,ChemEnv_max_C:12,0.004533916690735124
4,ChemEnv_max_AC:12,0.008622080903314911
5,2-norm,0.0012270244405753106
5,3-norm,0.0012618317577576359
5,5-norm,0.0010143985812405426
5,7-norm,0.0017580114742041034
5,10-norm,0.0009543033658564123
5,Cu,0.0007183880971143593
5,Pt,0.0005297169001645746
5,MagpieData mean Number,0.0005756702251750403
5,MagpieData avg_dev Number,0.0008872977062927459
5,MagpieData mean MendeleevNumber,0.0006537462585355934
5,MagpieData avg_dev MendeleevNumber,0.0009378493940203631
5,MagpieData mean AtomicWeight,0.0003571763430557022
5,MagpieData avg_dev AtomicWeight,0.0008574163843475232
5,MagpieData mean MeltingT,0.0006636220363844457
5,MagpieData avg_dev MeltingT,0.0008064259185845103
5,MagpieData mean Column,0.0006942681305792993
5,MagpieData avg_dev Column,0.0009289971031932894
5,MagpieData mean Row,0.0005109116556940971
5,MagpieData avg_dev Row,0.0008588895557012294
5,MagpieData mean CovalentRadius,0.0003211987271248104
5,MagpieData avg_dev CovalentRadius,0.0012817583535006242
5,MagpieData avg_dev Electronegativity,0.0013890684973787396
5,MagpieData mean NdValence,0.0006785193602860644
5,MagpieData avg_dev NdValence,0.0010555860154706498
5,MagpieData mean NfValence,0.0006659997439664695
5,MagpieData avg_dev NfValence,0.0012720059757405468
5,MagpieData mean NValence,0.0006260670497570366
5,MagpieData avg_dev NValence,0.0010718635037097644
5,MagpieData mean NdUnfilled,0.0006919473604320723
5,MagpieData mean NUnfilled,0.0005697694017779
5,MagpieData avg_dev NUnfilled,0.0011791651196008212
5,MagpieData mean GSvolume_pa,0.0005850566133176161
5,MagpieData avg_dev GSvolume_pa,0.001051997033714862
5,avg d valence electrons,0.0005133088639441037
5,avg f valence electrons,0.0008363084462524012
5,frac s valence electrons,0.0004036519811710397
5,frac d valence electrons,0.0009329369441133891
5,frac f valence electrons,0.00048740142949556573
5,density,0.8308189042497939
5,vpa,0.03325477943554187
5,packing fraction,0.036162037947662214
5,spacegroup_num,0.0011529075018763045
5,crystal_system_int,0.00043843525749428115
5,n_symmetry_ops,0.0006529686526951043
5,ChemEnv_mean_S:1,0.0011830685912925516
5,ChemEnv_mean_L:2,0.0015982382642415788
5,ChemEnv_mean_A:2,0.0006101488733039218
5,ChemEnv_mean_TL:3,0.001097463585663676
5,ChemEnv_mean_TY:3,0.000525538624461448
5,ChemEnv_mean_T:4,0.0002521469289474493
5,ChemEnv_mean_S:4,0.000524309100337023
5,ChemEnv_mean_SY:4,0.0004132150982187056
5,ChemEnv_mean_S:5,0.00048121276967932403
5,ChemEnv_mean_T:5,0.002033264071885187
5,ChemEnv_mean_O:6,0.0005427091473129493
5,ChemEnv_mean_T:6,0.00031523909079858895
5,ChemEnv_mean_C:8,0.0004045179644585179
5,ChemEnv_mean_BO_1:8,0.00027368682903514965
5,ChemEnv_mean_TT_1:9,0.000323996727343593
5,ChemEnv_mean_SMA:9,0.00038010424647558964
5,ChemEnv_mean_MI:10,0.0002209224024895718
5,ChemEnv_mean_BS_2:10,0.000288015790351627
5,ChemEnv_mean_I:12,0.0004122463469873809
5,ChemEnv_mean_C:12,0.004907668508016923
5,ChemEnv_mean_AC:12,0.006810201298515122
5,ChemEnv_std_S:1,0.00034437346301298947
5,ChemEnv_std_L:2,0.0003006006631462234
5,ChemEnv_std_T:4,0.00014644818954635035
5,ChemEnv_std_S:4,0.0004480931160636586
5,ChemEnv_std_SY:4,0.0005018841107378255
5,ChemEnv_std_C:8,0.0005082768179712822
5,ChemEnv_std_TBT:8,0.0006291160259084245
5,ChemEnv_std_BO_1:8,0.0006237033409460122
5,ChemEnv_std_TT_1:9,0.0003011583961777154
5,ChemEnv_std_BS_1:10,0.0004905131561855912
5,ChemEnv_std_I:12,0.0005054064287699765
5,ChemEnv_std_C:12,0.0018318894351673975
5,ChemEnv_std_AC:12,0.001754819369423086
5,ChemEnv_min_L:2,0.0007113258091947775
5,ChemEnv_min_TL:3,0.0007410187343406309
5,ChemEnv_min_T:5,0.001010637426813885
5,ChemEnv_min_I:12,0.00035446438691684527
5,ChemEnv_min_C:12,0.00503024703124229
5,ChemEnv_min_AC:12,0.004990861568750636
5,ChemEnv_max_S:1,0.000484836014816332
5,ChemEnv_max_L:2,0.00026502997712791646
5,ChemEnv_max_TL:3,0.0003113509274120658
5,ChemEnv_max_TY:3,0.0007331052007609075
5,ChemEnv_max_S:4,0.0004318711391277857
5,ChemEnv_max_SY:4,0.0004969497365159321
5,ChemEnv_max_T:5,0.0015122763757646767
5,ChemEnv_max_O:6,0.000578798265889588
5,ChemEnv_max_T:6,0.00029320478428602185
5,ChemEnv_max_C:8,0.0006221545593717519
5,ChemEnv_max_BO_1:8,0.0003187300285110107
5,ChemEnv_max_TT_1:9,0.00024844940106673444
5,ChemEnv_max_MI:10,0.00019343086202654438
5,ChemEnv_max_I:12,0.0004786539770422611
5,ChemEnv_max_C:12,0.005879384748143957
5,ChemEnv_max_AC:12,0.008039433477710335
