fold,feature,importance
3,ChemEnv_mean_C:8,0.0009010433082967523
3,ChemEnv_mean_DD:8,2.233406313188563e-06
3,ChemEnv_mean_DDPN:8,1.7028892709147615e-05
3,ChemEnv_mean_HB:8,0.0033377449334426445
3,ChemEnv_mean_BO_3:8,0.0026536303460632455
3,ChemEnv_mean_PA:10,8.846918091864258e-05
3,ChemEnv_mean_MI:10,0.0005149664864120152
3,ChemEnv_mean_I:12,0.0002697868826846846
3,ChemEnv_mean_C:12,0.025953196118301488
3,ChemEnv_mean_AC:12,0.0073699569828279176
3,ChemEnv_std_SY:4,0.00022789313613232358
3,ChemEnv_std_S:5,0.00010885831972567272
3,ChemEnv_std_O:6,0.004189523024408148
3,ChemEnv_std_T:6,0.00014594720193831948
3,ChemEnv_std_ST:7,3.31964292577214e-05
3,ChemEnv_std_SA:8,9.034976836363163e-05
3,ChemEnv_std_DD:8,6.229167136481703e-05
3,ChemEnv_std_DDPN:8,1.0924647533188628e-05
3,ChemEnv_std_HB:8,6.400925356148461e-05
3,ChemEnv_std_MI:10,6.401706063797082e-05
3,ChemEnv_std_I:12,0.00011434008696052235
3,ChemEnv_std_TT:12,0.00020322486718637035
3,ChemEnv_std_C:12,0.0001146110492914235
3,ChemEnv_std_AC:12,0.0012347713143330114
3,ChemEnv_min_T:5,0.0018669224773397554
3,ChemEnv_min_C:12,0.03454643977358418
3,ChemEnv_min_AC:12,0.0010301117473653276
3,ChemEnv_max_TL:3,0.0014400101655279982
3,ChemEnv_max_TY:3,0.0012569227589686366
3,ChemEnv_max_S:4,0.0004282744102229045
3,ChemEnv_max_SS:4,0.0002813865400171441
3,ChemEnv_max_S:5,0.007881004657545458
3,ChemEnv_max_O:6,0.0023202501516216088
3,ChemEnv_max_ST:7,0.00010458140947923496
3,ChemEnv_max_C:8,0.0006960219907773371
3,ChemEnv_max_SBT:8,0.005402858505862074
3,ChemEnv_max_DD:8,4.43774015913e-05
3,ChemEnv_max_DDPN:8,5.317305347140413e-06
3,ChemEnv_max_HB:8,0.001650384002801894
3,ChemEnv_max_BO_1:8,0.000222491061862116
3,ChemEnv_max_BO_3:8,0.0
3,ChemEnv_max_MI:10,0.03889647623547824
3,ChemEnv_max_I:12,0.002234955592826116
3,ChemEnv_max_C:12,0.00020321629525803535
3,ChemEnv_max_AC:12,0.005402238267910969
4,2-norm,0.00028314091498783575
4,3-norm,0.0012830342872627335
4,5-norm,5.0658293976841e-06
4,7-norm,5.707639817829967e-09
4,10-norm,1.0438100129077976e-05
4,Cu,1.3387496108459093e-06
4,Pt,0.00013323560738196395
4,MagpieData mean Number,1.1278025169878755e-06
4,MagpieData avg_dev Number,0.0006743615197142181
4,MagpieData mean MendeleevNumber,5.8333110882242055e-06
4,MagpieData avg_dev MendeleevNumber,2.583672644111774e-05
4,MagpieData mean AtomicWeight,0.00042847293717164964
4,MagpieData mean MeltingT,3.651773029872258e-05
4,MagpieData avg_dev MeltingT,2.460266205098935e-05
4,MagpieData mean Column,4.359298775758162e-05
4,MagpieData avg_dev Column,2.917910219443481e-07
4,MagpieData mode Column,9.961894126352656e-07
4,MagpieData mean Row,7.836413857574844e-07
4,MagpieData avg_dev Row,7.84697585413515e-08
4,MagpieData avg_dev CovalentRadius,2.856775047448301e-05
4,MagpieData mean Electronegativity,5.968610668724936e-05
4,MagpieData avg_dev Electronegativity,9.433608300951739e-06
4,MagpieData mean NdValence,3.3927466172598295e-05
4,MagpieData avg_dev NdValence,0.0004973415618365506
4,MagpieData avg_dev NfValence,0.0007934784543895444
4,MagpieData avg_dev NValence,4.69686360379124e-06
4,MagpieData mean NdUnfilled,5.841945673082476e-06
4,MagpieData avg_dev NdUnfilled,2.648043162911755e-05
4,MagpieData mean NUnfilled,3.405907074466122e-06
4,MagpieData avg_dev NUnfilled,9.758966149177692e-06
4,MagpieData mean GSvolume_pa,0.0004263199009440077
4,MagpieData avg_dev GSvolume_pa,1.9780184717124205e-06
4,avg d valence electrons,0.0003870840917238395
4,avg f valence electrons,0.00023075625562381954
4,frac s valence electrons,1.6235719217294657e-06
4,frac d valence electrons,1.094604651378722e-05
4,frac f valence electrons,6.590048355611125e-06
4,density,0.7260143110917313
4,vpa,0.049511298876787395
4,packing fraction,0.058995973009072576
4,spacegroup_num,0.0029200521222474143
4,crystal_system_int,4.0671792769065425e-05
4,n_symmetry_ops,0.00012749408820039943
4,ChemEnv_mean_TL:3,0.0008742519737910808
4,ChemEnv_mean_TY:3,0.00040480308863291694
4,ChemEnv_mean_TS:3,1.1446061892152734e-05
4,ChemEnv_mean_S:4,0.00018486684318314305
4,ChemEnv_mean_SY:4,0.000422140145140713
4,ChemEnv_mean_S:5,0.014742617479232934
4,ChemEnv_mean_T:5,0.0034151245623005775
4,ChemEnv_mean_C:8,0.00026290569758282686
4,ChemEnv_mean_SA:8,5.053681858233181e-05
4,ChemEnv_mean_SBT:8,1.7854363885830697e-05
4,ChemEnv_mean_DD:8,0.0
4,ChemEnv_mean_DDPN:8,2.7307594583628933e-06
4,ChemEnv_mean_HB:8,4.610404252973958e-05
4,ChemEnv_mean_BO_3:8,0.0
4,ChemEnv_mean_MI:10,0.023529313628077152
4,ChemEnv_mean_BS_1:10,8.28763283423058e-05
4,ChemEnv_mean_I:12,0.0013396545970355987
4,ChemEnv_mean_C:12,0.010265948439326286
4,ChemEnv_mean_AC:12,0.013823544375120874
4,ChemEnv_std_S:1,0.0002536060494725333
4,ChemEnv_std_TS:3,0.00011840780865961055
4,ChemEnv_std_SY:4,0.00019813024520704998
4,ChemEnv_std_SS:4,5.780656044567126e-05
4,ChemEnv_std_S:5,0.0022101383422027583
4,ChemEnv_std_O:6,0.00020984026800599843
4,ChemEnv_std_T:6,8.611240699479262e-06
4,ChemEnv_std_DD:8,0.0
4,ChemEnv_std_HB:8,0.00012318979555196448
4,ChemEnv_std_BO_3:8,0.0
4,ChemEnv_std_MI:10,0.008676659116549046
4,ChemEnv_std_BS_1:10,0.00029458724683836053
4,ChemEnv_std_I:12,0.0014891799620882435
4,ChemEnv_std_TT:12,0.0006750953411852025
4,ChemEnv_std_C:12,0.0005637754505162872
4,ChemEnv_std_AC:12,0.0003188573460529451
4,ChemEnv_min_C:12,0.04410744542241017
4,ChemEnv_min_AC:12,0.00022643738694337577
4,ChemEnv_max_TL:3,0.0024829896302799585
4,ChemEnv_max_TY:3,0.001611687316158597
4,ChemEnv_max_TS:3,0.00013964778396220232
4,ChemEnv_max_SY:4,0.00012744195736977333
4,ChemEnv_max_S:5,0.014660075556590062
4,ChemEnv_max_T:5,0.0004493358217530636
4,ChemEnv_max_O:6,2.792862452541862e-05
4,ChemEnv_max_T:6,0.00013002794496086813
4,ChemEnv_max_ST:7,0.00017600773851941145
4,ChemEnv_max_C:8,0.00038050979313862987
4,ChemEnv_max_DD:8,4.562251300450681e-08
4,ChemEnv_max_DDPN:8,0.0
4,ChemEnv_max_HB:8,0.00010523397765357425
4,ChemEnv_max_BO_3:8,0.0
4,ChemEnv_max_PA:10,1.669354221013543e-05
4,ChemEnv_max_MI:10,0.001789191906261258
4,ChemEnv_max_BS_1:10,0.00026643867774655004
4,ChemEnv_max_I:12,0.0010931004929536324
4,ChemEnv_max_C:12,0.00045666440489978
4,ChemEnv_max_AC:12,0.0039720194801785725
5,2-norm,2.601626363824226e-05
5,3-norm,8.789570347981068e-06
5,5-norm,0.001718967822003027
5,7-norm,1.2434813454538758e-05
5,10-norm,1.1437176379330636e-07
5,Cu,0.00021111764243875446
5,Pt,8.225419889313997e-06
5,MagpieData mean Number,0.00025089082105806033
5,MagpieData avg_dev Number,2.8325080361045636e-06
5,MagpieData mean MendeleevNumber,1.0789746307880759e-07
5,MagpieData avg_dev MendeleevNumber,1.3284269244182363e-05
5,MagpieData mean AtomicWeight,2.717918901079498e-06
5,MagpieData avg_dev AtomicWeight,6.537584009536619e-05
5,MagpieData mean MeltingT,1.28308308934619e-06
5,MagpieData avg_dev MeltingT,3.4906246534982723e-05
5,MagpieData mean Column,0.0
5,MagpieData avg_dev Column,8.54300753808974e-06
5,MagpieData mean Row,2.4868911829957294e-06
5,MagpieData avg_dev Row,4.5620601499890024e-05
5,MagpieData mean CovalentRadius,0.0010581499169679028
5,MagpieData avg_dev CovalentRadius,0.0006351267724586687
5,MagpieData avg_dev Electronegativity,2.861102543515567e-07
5,MagpieData mean NdValence,6.119215964116118e-05
5,MagpieData avg_dev NdValence,6.492701005584085e-05
5,MagpieData mean NfValence,1.418190521249345e-05
5,MagpieData avg_dev NfValence,8.612149273335244e-06
5,MagpieData mean NValence,8.96329225949185e-06
5,MagpieData avg_dev NValence,1.2255062278926569e-05
5,MagpieData mean NdUnfilled,4.305574068244622e-06
5,MagpieData mean NUnfilled,4.874124904269064e-07
5,MagpieData avg_dev NUnfilled,1.9928809889550284e-05
5,MagpieData mean GSvolume_pa,0.0002808862086958137
5,MagpieData avg_dev GSvolume_pa,4.111131503454471e-05
5,avg d valence electrons,0.0009686951410552924
5,avg f valence electrons,2.0471577190782953e-05
5,frac s valence electrons,0.00010654359720507338
5,frac d valence electrons,0.0034640821481735475
5,frac f valence electrons,3.491011431370438e-05
5,density,0.8322219376098382
5,vpa,0.046295362495232716
5,packing fraction,0.0508045505932769
5,spacegroup_num,0.0016603693503953586
5,crystal_system_int,4.51864174076099e-05
5,n_symmetry_ops,0.00041608666715829364
5,ChemEnv_mean_S:1,0.00022362479563407995
5,ChemEnv_mean_L:2,0.001502057070952817
5,ChemEnv_mean_A:2,0.00021991713587873757
5,ChemEnv_mean_TL:3,3.6890034080481126e-06
5,ChemEnv_mean_TY:3,0.00027714582250439154
5,ChemEnv_mean_T:4,5.0902494437482434e-05
5,ChemEnv_mean_S:4,0.00013100493942768264
5,ChemEnv_mean_SY:4,0.00012855907441809098
5,ChemEnv_mean_S:5,0.001843174028477205
5,ChemEnv_mean_T:5,0.00011129080003362477
5,ChemEnv_mean_O:6,0.0011922014921778516
5,ChemEnv_mean_T:6,1.8997619314596613e-05
5,ChemEnv_mean_C:8,0.0003334686135233395
5,ChemEnv_mean_BO_1:8,2.1997938207276906e-05
5,ChemEnv_mean_TT_1:9,0.00029030937172348824
5,ChemEnv_mean_SMA:9,5.687493123699252e-05
5,ChemEnv_mean_MI:10,0.0002687647180081703
5,ChemEnv_mean_BS_2:10,2.9219979065048845e-05
5,ChemEnv_mean_I:12,0.0002591731235352552
5,ChemEnv_mean_C:12,4.348995044986664e-05
5,ChemEnv_mean_AC:12,0.019121852653861435
5,ChemEnv_std_S:1,4.7250031220933245e-05
5,ChemEnv_std_L:2,0.0002153398883293211
5,ChemEnv_std_T:4,3.7392793382540524e-06
5,ChemEnv_std_S:4,0.000146954424906509
5,ChemEnv_std_SY:4,0.00024424724734801306
5,ChemEnv_std_C:8,0.0012129676024449653
5,ChemEnv_std_TBT:8,2.8208319917614287e-06
5,ChemEnv_std_BO_1:8,0.0003453496162220303
5,ChemEnv_std_TT_1:9,7.799666165803762e-05
5,ChemEnv_std_BS_1:10,0.00033984387333976205
5,ChemEnv_std_I:12,0.00013286459106983702
5,ChemEnv_std_C:12,0.00028403306941338395
5,ChemEnv_std_AC:12,0.00031483516862743446
5,ChemEnv_min_L:2,0.0013204050141375151
5,ChemEnv_min_TL:3,0.00032876432200570736
5,ChemEnv_min_T:5,0.0006672505890616303
5,ChemEnv_min_I:12,8.32791720386676e-05
5,ChemEnv_min_C:12,0.0005441561136623892
5,ChemEnv_min_AC:12,0.0033104151468763042
5,ChemEnv_max_S:1,2.0816459978194103e-06
5,ChemEnv_max_L:2,3.726216934697892e-05
5,ChemEnv_max_TL:3,2.6599687813532052e-05
5,ChemEnv_max_TY:3,0.002113492390641207
5,ChemEnv_max_S:4,0.00032151431099716906
