fold,feature,importance
1,ChemEnv_mean_TC:9,6.537508600202994e-07
1,ChemEnv_mean_TT_1:9,0.0
1,ChemEnv_mean_TT_2:9,0.0
1,ChemEnv_mean_TT_3:9,1.441358600792808e-05
1,ChemEnv_mean_TI:9,0.0
1,ChemEnv_mean_SMA:9,0.0
1,ChemEnv_mean_SS:9,0.0
1,ChemEnv_mean_TO_1:9,0.0
1,ChemEnv_mean_TO_2:9,6.530204341634028e-06
1,ChemEnv_mean_TO_3:9,0.0
1,ChemEnv_mean_PP:10,0.0
1,ChemEnv_mean_PA:10,1.25982023228183e-05
1,ChemEnv_mean_SBSA:10,4.872536257866157e-05
1,ChemEnv_mean_MI:10,0.0016022640081564613
1,ChemEnv_mean_BS_1:10,0.0003251340370992124
1,ChemEnv_mean_BS_2:10,3.383280041424128e-05
1,ChemEnv_mean_TBSA:10,0.0
1,ChemEnv_mean_PCPA:11,0.0
1,ChemEnv_mean_H:11,0.0003275468134808357
1,ChemEnv_mean_DI:11,2.0221689102033585e-05
1,ChemEnv_mean_I:12,0.00047064845891077635
1,ChemEnv_mean_PBP:12,0.0
1,ChemEnv_mean_TT:12,0.00020278797501026172
1,ChemEnv_mean_C:12,0.0008387183954534018
1,ChemEnv_mean_AC:12,0.008787890597318469
1,ChemEnv_mean_HP:12,3.060836485289743e-08
1,ChemEnv_mean_HA:12,9.03016771816577e-08
1,ChemEnv_std_S:1,0.00019703352262289862
1,ChemEnv_std_L:2,0.0
1,ChemEnv_std_A:2,9.904906895048411e-05
1,ChemEnv_std_TL:3,9.51719330165497e-06
1,ChemEnv_std_TY:3,2.633425667755216e-05
1,ChemEnv_std_TS:3,7.426546786013047e-06
1,ChemEnv_std_T:4,7.130047819544368e-07
1,ChemEnv_std_S:4,0.00044027489306777316
1,ChemEnv_std_SY:4,6.581529924764113e-05
1,ChemEnv_std_SS:4,1.0521887649289232e-10
1,ChemEnv_std_PP:5,0.0
1,ChemEnv_std_S:5,0.0002213113047789367
1,ChemEnv_std_T:5,0.0001303157607238743
1,ChemEnv_std_O:6,1.6805749041016567e-06
1,ChemEnv_std_T:6,2.0949726124338173e-05
1,ChemEnv_std_PP:6,0.0
1,ChemEnv_std_PB:7,0.0
1,ChemEnv_std_ST:7,0.0001597763499145566
1,ChemEnv_std_ET:7,1.2670849979297079e-05
1,ChemEnv_std_FO:7,1.4634179031835775e-06
1,ChemEnv_std_C:8,7.841307190793204e-05
1,ChemEnv_std_SA:8,2.988264229537405e-07
1,ChemEnv_std_SBT:8,0.0
1,ChemEnv_std_TBT:8,0.0
1,ChemEnv_std_DD:8,1.8939682245170283e-05
1,ChemEnv_std_DDPN:8,5.120267831828896e-05
1,ChemEnv_std_HB:8,0.004550689331973762
1,ChemEnv_std_BO_1:8,0.0002604926832539033
1,ChemEnv_std_BO_2:8,7.0773667677066296e-09
1,ChemEnv_std_BO_3:8,0.0
1,ChemEnv_std_TC:9,0.0
1,ChemEnv_std_TT_1:9,0.0
1,ChemEnv_std_TT_2:9,3.139717165926573e-05
1,ChemEnv_std_TT_3:9,0.0
1,ChemEnv_std_TI:9,0.0
1,ChemEnv_std_SMA:9,9.525946341784614e-07
1,ChemEnv_std_SS:9,1.8970896859361313e-05
1,ChemEnv_std_TO_1:9,7.057607347900155e-05
